damage_level,wind_speed
3,154.37
3,153.13
1,99.98
3,143.82
2,129.97
2,125.95
2,128.68
2,126.98
2,116.84
2,126.12
3,150.73
2,120.55
2,124.47
1,96.31
2,121.53
3,153.37
4,169.1
1,106.87
2,124.99
1,99.37
1,107.97
2,124.92
2,125.78
3,164.68
1,108.41
2,121.89
2,122.72
1,95.57
2,127.24
0,67.69
1,93.79
2,127.28
2,117.72
2,121.05
2,113.19
3,136.04
3,136.14
2,122.87
1,86.4
1,105.28
1,97.67
2,122.19
2,131.87
2,122.9
2,130.33
2,123.71
2,123.2
1,104.98
1,98.5
3,141.64
2,115.36
1,104.73
2,112.64
3,154.56
1,107.81
1,105.37
1,106.44
2,134.88
3,149.09
4,176.88
4,173.85
2,132.8
1,98.34
0,79.36
1,95.39
1,106.04
1,92.84
2,121.23
1,91.1
1,99.49
1,105.52
2,125.31
1,108.09
1,101.28
4,170.99
1,94.6
2,123.96
2,119.51
2,112.95
3,142.52
1,102.26
1,109.5
2,123.74
1,108.16
2,118.71
1,92.84
1,86.94
2,119.0
2,125.37
2,116.0
2,111.62
1,98.44
1,96.74
1,103.17
2,112.37
1,93.8
0,67.33
1,99.09
1,90.89
1,99.8
1,91.37
2,125.73
1,93.83
1,93.69
2,123.79
2,126.33
2,118.78
1,94.44
0,66.94
3,153.31
1,109.95
0,73.89
1,104.1
0,69.36
1,98.32
2,133.17
2,118.41
1,92.49
1,99.78
1,93.08
1,107.41
1,91.88
1,91.16
1,90.1
3,160.68
0,84.11
1,97.24
1,86.98
3,154.81
1,96.74
1,104.1
4,194.71
1,104.79
1,94.4
1,96.71
3,139.48
2,124.53
3,162.28
1,106.32
3,138.54
2,133.94
1,103.15
1,99.9
0,76.99
0,84.85
0,74.01
0,84.19
1,97.48
2,134.15
2,114.08
3,161.06
4,170.35
2,115.97
1,103.81
2,128.62
2,111.72
0,72.04
2,133.71
2,120.85
1,107.75
1,108.08
2,132.61
2,121.61
4,197.52
1,97.01
1,92.66
1,105.37
2,132.34
1,95.14
2,122.91
3,140.4
0,81.08
0,73.71
1,92.9
1,95.11
1,98.8
2,115.17
1,97.15
2,115.22
2,122.85
1,104.31
1,98.97
1,87.97
2,122.97
1,92.82
1,98.1
1,106.75
0,76.74
2,116.36
0,69.26
1,103.52
1,88.28
3,136.32
3,163.6
1,105.02
2,119.49
1,107.8
3,163.27
1,106.99
2,121.68
3,163.57
3,143.32
2,113.98
1,99.63
1,102.27
1,94.4
0,77.35
2,112.46
2,113.42
2,127.96
2,125.55
1,99.76
3,154.64
0,79.08
3,149.25
2,130.32
1,105.97
2,119.72
1,94.14
2,114.36
2,117.33
2,112.89
0,66.82
2,113.13
0,73.21
0,72.61
1,108.55
3,152.91
0,81.47
1,98.36
1,98.85
0,83.42
0,79.53
1,87.86
1,96.57
1,96.6
1,101.61
2,128.44
1,88.95
0,67.41
3,141.69
1,99.13
1,101.52
2,122.94
3,147.24
1,90.39
1,101.62
2,128.78
1,98.74
0,70.18
1,103.2
1,86.62
2,112.43
2,126.81
2,126.3
1,86.61
1,109.65
0,78.1
2,124.24
2,129.74
3,147.75
2,113.23
2,126.16
1,87.21
0,65.4
0,68.66
1,101.2
1,98.57
1,100.35
4,179.33
0,65.35
1,105.14
2,114.89
0,65.53
0,75.57
1,106.87
2,126.62
3,146.37
3,149.97
1,88.82
2,133.82
1,95.56
2,134.61
1,101.64
1,107.09
2,121.81
3,136.52
1,86.81
1,90.94
1,100.12
0,78.14
0,82.78
0,83.0
0,67.23
0,84.07
1,96.46
1,94.21
